,B02,B03,B08,B11,Clase
216,1228.0,1288.0,1252.0,1086.0,agua
217,1208.0,1288.0,1246.0,1093.0,agua
218,1243.0,1281.0,1248.0,1094.0,agua
219,1208.0,1287.0,1244.0,1092.0,agua
220,1227.0,1293.0,1243.0,1093.0,agua
221,1228.0,1302.0,1241.0,1094.0,agua
222,1233.0,1294.0,1238.0,1093.0,agua
223,1211.0,1290.0,1251.0,1099.0,agua
224,1261.0,1296.0,1262.0,1104.0,agua
225,1245.0,1301.0,1265.0,1107.0,agua
226,1233.0,1284.0,1267.0,1100.0,agua
227,1221.0,1277.0,1269.0,1089.0,agua
228,1213.0,1291.0,1265.0,1084.0,agua
229,1243.0,1303.0,1257.0,1085.0,agua
230,1232.0,1289.0,1251.0,1090.0,agua
231,1213.0,1291.0,1241.0,1093.0,agua
232,1238.0,1281.0,1245.0,1091.0,agua
233,1228.0,1291.0,1248.0,1088.0,agua
234,1238.0,1282.0,1243.0,1086.0,agua
235,1213.0,1285.0,1232.0,1086.0,agua
236,1202.0,1307.0,1231.0,1088.0,agua
237,1216.0,1301.0,1244.0,1097.0,agua
238,1222.0,1292.0,1253.0,1104.0,agua
239,1233.0,1279.0,1257.0,1106.0,agua
240,1238.0,1296.0,1268.0,1088.0,agua
241,1239.0,1280.0,1261.0,1071.0,agua
242,1225.0,1280.0,1256.0,1077.0,agua
243,1222.0,1296.0,1253.0,1091.0,agua
244,1232.0,1288.0,1246.0,1096.0,agua
245,1203.0,1287.0,1241.0,1093.0,agua
246,1199.0,1288.0,1248.0,1089.0,agua
247,1208.0,1296.0,1249.0,1087.0,agua
248,1232.0,1268.0,1251.0,1088.0,agua
249,1226.0,1276.0,1230.0,1093.0,agua
250,1216.0,1284.0,1229.0,1101.0,agua
251,1205.0,1274.0,1252.0,1103.0,agua
252,1225.0,1283.0,1250.0,1098.0,agua
253,1233.0,1288.0,1258.0,1080.0,agua
254,1219.0,1288.0,1253.0,1068.0,agua
255,1225.0,1292.0,1245.0,1081.0,agua
256,1219.0,1274.0,1241.0,1098.0,agua
257,1216.0,1298.0,1236.0,1098.0,agua
258,1209.0,1288.0,1241.0,1090.0,agua
259,1222.0,1288.0,1241.0,1087.0,agua
260,1216.0,1290.0,1244.0,1094.0,agua
261,1214.0,1274.0,1245.0,1109.0,agua
262,1221.0,1302.0,1230.0,1126.0,agua
263,1228.0,1272.0,1233.0,1101.0,agua
264,1226.0,1287.0,1232.0,1091.0,agua
265,1227.0,1287.0,1245.0,1080.0,agua
266,1203.0,1280.0,1247.0,1077.0,agua
267,1231.0,1283.0,1246.0,1090.0,agua
268,1215.0,1286.0,1237.0,1101.0,agua
269,1215.0,1287.0,1234.0,1096.0,agua
270,1212.0,1288.0,1238.0,1088.0,agua
271,1210.0,1287.0,1231.0,1095.0,agua
272,1204.0,1279.0,1234.0,1120.0,agua
273,1201.0,1282.0,1228.0,1159.0,agua
274,1214.0,1272.0,1248.0,1187.0,agua
275,1231.0,1300.0,1228.0,1095.0,agua
276,1212.0,1287.0,1235.0,1089.0,agua
277,1227.0,1270.0,1242.0,1089.0,agua
278,1238.0,1266.0,1254.0,1095.0,agua
279,1208.0,1276.0,1246.0,1097.0,agua
280,1210.0,1282.0,1234.0,1090.0,agua
281,1212.0,1284.0,1235.0,1091.0,agua
282,1225.0,1277.0,1243.0,1118.0,agua
283,1212.0,1249.0,1221.0,1171.0,agua
284,1208.0,1255.0,1233.0,1236.0,agua
285,1203.0,1278.0,1238.0,1097.0,agua
286,1220.0,1281.0,1249.0,1096.0,agua
287,1222.0,1281.0,1240.0,1093.0,agua
288,1220.0,1281.0,1233.0,1089.0,agua
289,1225.0,1274.0,1232.0,1102.0,agua
290,1209.0,1266.0,1248.0,1146.0,agua
291,1365.0,1449.0,1416.0,1146.0,agua
292,1392.0,1448.0,1411.0,1143.0,agua
293,1367.0,1452.0,1394.0,1138.0,agua
294,1353.0,1436.0,1390.0,1139.0,agua
295,1346.0,1470.0,1403.0,1144.0,agua
296,1362.0,1472.0,1425.0,1146.0,agua
