Wavelength (nm),Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Reflectance_spct
566,0.0,0.0,0.957314,0.0,0.0,0.0,0.0,0.954526,0.0,0.0936267822980881
567,0.0,0.0,0.965081,0.0,0.0,0.0,0.0,0.952465,0.0,0.093906432390213
568,0.0,0.0,0.977765,0.0,0.0,0.0,0.0,0.948081,0.0,0.0941822230815887
569,0.0,0.0,0.983832,0.0,0.0,0.0,0.0,0.946006,0.0,0.094459094107151
570,0.0,0.0,0.982642,0.0,0.0,0.0,0.0,0.949345,0.0,0.094738781452179
571,0.0,0.0,0.992264,0.0,0.0,0.0,0.0,0.952939,0.0,0.0950134992599487
572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.957232,0.0,0.0952904894948006
573,0.0,0.0,0.990784,0.0,0.0,0.0,0.0,0.961367,0.0,0.0955701395869255
574,0.0,0.0,0.980884,0.0,0.0,0.0,0.0,0.965083,0.0,0.0958461612462997
575,0.0,0.0,0.977001,0.0,0.0,0.0,0.0,0.967878,0.0,0.0961184054613113
576,0.0,0.0,0.977533,0.0,0.0,0.0,0.0,0.968233,0.0,0.0963888019323349
577,0.0,0.0,0.97827,0.0,0.0,0.0,0.0,0.968241,0.0,0.0966584458947182
578,0.0,0.0,0.961397,0.0,0.0,0.0,0.0,0.967381,0.0,0.0969306230545044
579,0.0,0.0,0.952489,0.0,0.0,0.0,0.0,0.963664,0.0,0.0972124189138412
580,0.0,0.0,0.969873,0.0,0.0,0.0,0.0,0.952415,0.0,0.0975059568881989
581,0.0,0.0,0.964902,0.0,0.0,0.0,0.0,0.943626,0.0,0.0978002548217773
582,0.0,0.0,0.961328,0.0,0.0,0.0,0.0,0.940838,0.0,0.0980825498700142
583,0.0,0.0,0.959215,0.0,0.0,0.0,0.0,0.93784,0.0,0.098358042538166
584,0.0,0.0,0.954163,0.0,0.0,0.0,0.0,0.93425,0.0,0.0986398831009865
585,0.0,0.0,0.954627,0.0,0.0,0.0,0.0,0.933839,0.0,0.0989074409008026
586,0.0,0.0,0.927396,0.0,0.0,0.0,0.0,0.942374,0.0,0.0991683602333069
587,0.0,0.0,0.865225,0.0,0.0,0.0,0.0,0.946659,0.0,0.0994585007429123
588,0.0,0.0,0.741205,0.0,0.0,0.0,0.0,0.939621,0.0,0.0997614338994026
589,0.0,0.0,0.545856,0.0,0.0,0.0,0.0,0.936298,0.0,0.10007406771183
590,0.0,0.0,0.353885,0.0,0.0,0.0,0.0,0.942462,0.0,0.100396789610386
591,0.0,0.0,0.21168,0.0,0.0,0.0,0.0,0.946566,0.0,0.100692301988602
592,0.0,0.0,0.123444,0.0,0.0,0.0,0.0,0.945674,0.0,0.100982427597046
593,0.0,0.0,0.070551,0.0,0.0,0.0,0.0,0.944136,0.0,0.10129289329052
594,0.0,0.0,0.041451,0.0,0.0,0.0,0.0,0.940813,0.0,0.101613886654377
595,0.0,0.0,0.025513,0.0,0.0,0.0,0.0,0.940273,0.0,0.101899035274982
596,0.0,0.0,0.016247,0.0,0.0,0.0,0.0,0.947084,0.0,0.102166049182415
597,0.0,0.0,0.010441,0.0,0.0,0.0,0.0,0.948863,0.0,0.102425895631313
598,0.0,0.0,0.007024,0.0,0.0,0.0,0.0,0.937549,0.0,0.10269121825695
599,0.0,0.0,0.00488,0.0,0.0,0.0,0.0,0.929551,0.0,0.102968119084835
600,0.0,0.0,0.003446,0.0,0.0,0.0,0.0,0.930068,0.0,0.103260092437267
601,0.0,0.0,0.002515,0.0,0.0,0.0,0.0,0.929105,0.0,0.103549800813198
602,0.0,0.0,0.001816,0.0,0.0,0.0,0.0,0.924431,0.0,0.103821642696857
603,0.0,0.0,0.001332,0.0,0.0,0.0,0.0,0.92104,0.0,0.104070968925953
604,0.0,0.0,0.000935,0.0,0.0,0.0,0.0,0.920802,0.0,0.10438334941864
605,0.0,0.0,0.000648,0.0,0.0,0.0,0.0,0.919554,0.0,0.104703091084957
606,0.0,0.0,0.000362,0.0,0.0,0.0,0.0,0.915508,0.0,0.104984536767006
607,0.0,0.0,0.000247,0.0,0.0,0.0,0.0,0.91319,0.0,0.10529986768961
608,0.0,0.0,0.00011,0.0,0.0,0.0,0.0,0.914932,0.0,0.105609647929668
609,0.0,0.0,1.6e-05,0.0,0.0,0.0,0.0,0.91435,0.0,0.105899378657341
610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907551,0.0,0.106199309229851
611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902826,0.0,0.106529079377651
612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903528,0.0,0.106870949268341
613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901194,0.0,0.107178777456284
614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891375,0.0,0.107477687299252
615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882402,0.0,0.107793636620045
616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875674,0.0,0.108140476047993
617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874097,0.0,0.108454003930092
618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885948,0.0,0.108765453100204
619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893427,0.0,0.109091825783253
620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889903,0.0,0.109385952353477
621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.884759,0.0,0.109673067927361
622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875361,0.0,0.109973184764385
623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869478,0.0,0.110302977263927
624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872666,0.0,0.110665313899517
625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875692,0.0,0.111026838421822
626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878303,0.0,0.111337631940842
627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.879443,0.0,0.111639186739922
628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876838,0.0,0.111958846449852
629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878599,0.0,0.112307578325272
630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892702,0.0,0.112629361450672
631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905134,0.0,0.112968020141125
632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91302,0.0,0.113338939845562
